implementation,rows,cols,iterations,seed,threads,time_ms,run
cpp_optimized,512,512,100,12345,2,80.116,1
cpp_optimized,512,512,100,12345,4,42.9741,1
cpp_optimized,512,512,100,12345,8,80.9873,1
cpp_optimized,1024,1024,50,67890,1,328.7,1
cpp_optimized,1024,1024,50,67890,2,167.757,1
cpp_optimized,1024,1024,50,67890,4,88.2372,1
cpp_optimized,1024,1024,50,67890,8,126.515,1
cpp_optimized,2048,2048,25,11111,1,692.65,1
cpp_optimized,2048,2048,25,11111,2,352.236,1
cpp_optimized,2048,2048,25,11111,4,225.793,1
cpp_optimized,2048,2048,25,11111,8,255.609,1
cpp_optimized,4096,4096,12,22222,1,1396.01,1
cpp_optimized,4096,4096,12,22222,2,706.907,1
cpp_optimized,4096,4096,12,22222,4,413.143,1
cpp_optimized,4096,4096,12,22222,8,447.938,1
cpp_optimized,512,512,100,12345,2,91.1538,2
cpp_optimized,512,512,100,12345,4,48.4451,2
cpp_optimized,512,512,100,12345,8,79.0328,2
cpp_optimized,1024,1024,50,67890,1,327.815,2
cpp_optimized,1024,1024,50,67890,2,168.554,2
cpp_optimized,1024,1024,50,67890,4,88.1727,2
cpp_optimized,1024,1024,50,67890,8,133.724,2
cpp_optimized,2048,2048,25,11111,1,693.99,2
cpp_optimized,2048,2048,25,11111,2,352.084,2
cpp_optimized,2048,2048,25,11111,4,199.793,2
cpp_optimized,2048,2048,25,11111,8,227.317,2
cpp_optimized,4096,4096,12,22222,1,1399.1,2
cpp_optimized,4096,4096,12,22222,2,706.718,2
cpp_optimized,4096,4096,12,22222,4,412.08,2
cpp_optimized,4096,4096,12,22222,8,443.215,2
cpp_optimized,512,512,100,12345,2,91.3542,3
cpp_optimized,512,512,100,12345,4,48.659,3
cpp_optimized,512,512,100,12345,8,89.5189,3
cpp_optimized,1024,1024,50,67890,1,329.107,3
cpp_optimized,1024,1024,50,67890,2,169.104,3
cpp_optimized,1024,1024,50,67890,4,90.661,3
cpp_optimized,1024,1024,50,67890,8,129.959,3
cpp_optimized,2048,2048,25,11111,1,697.275,3
cpp_optimized,2048,2048,25,11111,2,353.797,3
cpp_optimized,2048,2048,25,11111,4,200.107,3
cpp_optimized,2048,2048,25,11111,8,227.535,3
cpp_optimized,4096,4096,12,22222,1,1409.67,3
cpp_optimized,4096,4096,12,22222,2,720.877,3
cpp_optimized,4096,4096,12,22222,4,392.562,3
cpp_optimized,4096,4096,12,22222,8,464.55,3
cpp_optimized,512,512,100,12345,2,92.8446,4
cpp_optimized,512,512,100,12345,4,45.1385,4
cpp_optimized,512,512,100,12345,8,77.9767,4
cpp_optimized,1024,1024,50,67890,1,331.353,4
cpp_optimized,1024,1024,50,67890,2,168.875,4
cpp_optimized,1024,1024,50,67890,4,88.6958,4
cpp_optimized,1024,1024,50,67890,8,129.062,4
cpp_optimized,2048,2048,25,11111,1,698.299,4
cpp_optimized,2048,2048,25,11111,2,353.777,4
cpp_optimized,2048,2048,25,11111,4,201.52,4
cpp_optimized,2048,2048,25,11111,8,237.936,4
cpp_optimized,4096,4096,12,22222,1,1404.61,4
cpp_optimized,4096,4096,12,22222,2,709.414,4
cpp_optimized,4096,4096,12,22222,4,420.414,4
cpp_optimized,4096,4096,12,22222,8,437.956,4
cpp_optimized,512,512,100,12345,2,91.5057,5
cpp_optimized,512,512,100,12345,4,48.8119,5
cpp_optimized,512,512,100,12345,8,80.8244,5
cpp_optimized,1024,1024,50,67890,1,330.562,5
cpp_optimized,1024,1024,50,67890,2,168.988,5
cpp_optimized,1024,1024,50,67890,4,88.2798,5
cpp_optimized,1024,1024,50,67890,8,127.935,5
cpp_optimized,2048,2048,25,11111,1,696.657,5
cpp_optimized,2048,2048,25,11111,2,360.744,5
cpp_optimized,2048,2048,25,11111,4,189.659,5
cpp_optimized,2048,2048,25,11111,8,246.416,5
cpp_optimized,4096,4096,12,22222,1,1411.7,5
cpp_optimized,4096,4096,12,22222,2,706.814,5
cpp_optimized,4096,4096,12,22222,4,478.547,5
cpp_optimized,4096,4096,12,22222,8,427.782,5
cpp_sequential,512,512,100,12345,2,205.783,1
cpp_sequential,512,512,100,12345,4,195.667,1
